2022-05-19 14:05:389 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:284 INFO  CheckOutComplete :24 - Getting thank you text [[ChromeDriver: chrome on WINDOWS (104bb94eabe5ea3185abbb3c23a9eb60)] -> xpath: //div[@id='checkout_complete_container']]
2022-05-19 17:05:725 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:664 INFO  HomePage :43 - Enter user name standard_user and password secret_sauce standard_user secret_sauce
2022-05-19 17:05:923 INFO  HomePage :38 - Clicking On LoginButton button [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:111 INFO  InventoryPage :36 - Selecting high to low price [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:724 INFO  InventoryPage :41 - Clicking On Cheapest Product [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 17:05:913 INFO  InventoryPage :45 - Clicking On Costliest Product [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 17:05:173 INFO  InventoryPage :49 - Clicking On Shipping cart [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 17:05:321 INFO  CartPage :25 - Clicking On Checkout button [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //button[@id='checkout']]
2022-05-19 17:05:848 INFO  CheckOutPage :48 - Enter first name Roooldo last name Messi zip code 100-200Roooldo
2022-05-19 17:05:63 INFO  CheckOutPage :53 - Clicking On Continue button [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //input[@id='continue']]
2022-05-19 17:05:229 INFO  CheckOutPage2 :25 - Clicking On finish button [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //button[@id='finish']]
2022-05-19 17:05:332 INFO  CheckOutComplete :24 - Getting thank you text [[ChromeDriver: chrome on WINDOWS (43a9be3cd07bbfe074171d5b423c515d)] -> xpath: //div[@id='checkout_complete_container']]
2022-05-19 23:05:688 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:940 INFO  HomePage :43 - Enter user name standard_user and password secret_sauce standard_user secret_sauce
2022-05-19 23:05:576 INFO  HomePage :38 - Clicking On LoginButton button [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //input[@id='login-button']]
2022-05-19 23:05:931 INFO  InventoryPage :36 - Selecting high to low price [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 23:05:881 INFO  InventoryPage :41 - Clicking On Cheapest Product [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 23:05:67 INFO  InventoryPage :45 - Clicking On Costliest Product [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 23:05:305 INFO  InventoryPage :49 - Clicking On Shipping cart [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 23:05:434 INFO  CartPage :25 - Clicking On Checkout button [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //button[@id='checkout']]
2022-05-19 23:05:22 INFO  CheckOutPage :48 - Enter first name Harry last name Messi zip code 100-200Harry
2022-05-19 23:05:157 INFO  CheckOutPage :53 - Clicking On Continue button [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //input[@id='continue']]
2022-05-19 23:05:387 INFO  CheckOutPage2 :25 - Clicking On finish button [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //button[@id='finish']]
2022-05-19 23:05:440 INFO  CheckOutComplete :24 - Getting thank you text [[ChromeDriver: chrome on WINDOWS (113426997b13368d135dc4a57f5f8bec)] -> xpath: //div[@id='checkout_complete_container']]
